,Date,Volume,Trade_value,Opening,Highest,Lowest,Closing,Change,Transaction
0,20200529,44896709,3390842168,74.3,75.8,74.3,75.8,0.5,8845
1,20200528,26184820,1974966847,75.7,75.9,74.8,75.3,0.0,11142
2,20200527,22380029,1681599201,74.8,75.5,74.8,75.3,0.5,9717
3,20200526,28310825,2118555875,73.7,75.3,73.6,74.8,1.2,12743
4,20200525,26982259,1975050566,73.5,73.6,72.6,73.6,0.0,13590
5,20200522,46433168,3429622432,74.2,74.4,73.5,73.6,-1.1,24358
6,20200521,24213322,1809690550,74.5,75.0,74.3,74.7,0.2,11673
7,20200520,30828720,2304984331,74.9,75.3,74.5,74.5,-0.3,13870
8,20200519,49410505,3711927230,75.4,76.0,74.6,74.8,-0.2,21590
9,20200518,57978171,4380323435,76.6,76.6,74.9,75.0,-2.1,26917
10,20200515,47550082,3678862332,78.2,78.6,76.4,77.1,-1.1,22470
11,20200514,42128911,3298686731,78.0,78.9,78.0,78.2,-0.6,19774
12,20200513,43132241,3378556440,77.7,78.8,77.7,78.8,1.5,21005
13,20200512,45434634,3527174435,78.3,78.4,77.0,77.3,-1.6,21458
14,20200511,59444957,4658299492,76.9,79.2,76.9,78.9,2.7,28011
15,20200508,38394983,2932358445,76.8,76.8,75.9,76.2,1.0,17416
16,20200507,31856315,2394950417,74.5,75.8,74.5,75.2,0.9,13922
17,20200506,26782236,1994740599,74.1,75.2,74.1,74.3,0.2,12458
18,20200505,30499283,2267358676,74.7,75.0,74.0,74.1,-0.4,14431
19,20200504,50274654,3743144292,74.0,75.0,73.9,74.5,-2.5,24021
20,20200430,50247112,3846340874,76.2,77.0,76.0,77.0,1.4,21023
21,20200429,32618555,2472509066,75.2,76.2,75.1,75.6,0.4,15525
22,20200428,22472772,1686693617,75.1,75.4,74.8,75.2,0.3,9829
23,20200427,28422746,2127044766,74.2,75.2,74.2,74.9,1.1,12354
24,20200424,18097847,1338133578,74.0,74.2,73.7,73.8,-0.2,8073
25,20200423,26918129,1999116982,74.2,75.2,73.6,74.0,0.1,10752
26,20200422,27664535,2028813790,72.6,73.9,72.5,73.9,0.4,11631
27,20200421,50476839,3748124545,75.2,75.5,73.5,73.5,-2.7,26194
28,20200420,34062921,2589741185,76.1,76.6,75.4,76.2,0.4,13541
29,20200417,71076153,5396376021,75.5,76.5,75.3,75.8,1.8,29356
30,20200416,46873293,3488949075,74.0,75.0,73.8,74.0,-0.1,16737
31,20200415,42208905,3140527398,74.5,75.2,74.1,74.1,-0.3,19762
32,20200414,36772932,2724034232,73.5,74.5,73.2,74.4,1.3,13991
33,20200413,25076651,1840201557,73.8,73.9,73.1,73.1,-0.8,12994
34,20200410,19079314,1406163797,73.5,73.9,73.4,73.9,-0.1,9662
35,20200409,55267837,4121063355,75.5,75.9,73.7,74.0,-1.0,27239
36,20200408,90172291,6665687725,71.5,75.3,71.4,75.0,3.8,45059
37,20200407,46626787,3321176546,71.4,71.9,70.8,71.2,1.0,19700
38,20200406,48957455,3422092605,70.0,70.3,69.4,70.2,0.2,16309
39,20200401,25810865,1810237557,70.5,70.5,70.0,70.0,0.1,10193
40,20200331,38298560,2683048464,70.1,70.5,69.9,69.9,-0.1,14066
41,20200330,33595577,2344257604,69.5,70.3,69.0,70.0,-0.1,13149
42,20200327,59785740,4243023340,71.4,72.2,70.0,70.1,-0.9,23636
43,20200326,38695860,2744977279,71.5,71.7,70.5,71.0,-0.4,15719
44,20200325,53652986,3851366575,71.2,72.6,71.1,71.4,2.0,26059
45,20200324,41628933,2912829700,70.6,70.7,69.1,69.4,1.9,19834
46,20200323,66805202,4526103196,67.5,68.4,67.0,67.5,-3.3,27995
47,20200320,104299524,7291745045,68.0,71.4,68.0,70.8,4.5,40245
48,20200319,107256149,7251995017,68.7,69.3,65.7,66.3,-3.7,47548
49,20200318,76268240,5378721353,70.7,71.3,70.0,70.0,-0.6,30314
50,20200317,72635874,5158152404,70.1,72.8,70.0,70.6,-0.5,30114
51,20200316,65223917,4720458460,73.9,74.3,71.1,71.1,-3.5,32325
52,20200313,108780196,7771885443,70.0,75.0,69.9,74.6,-0.1,46824
53,20200312,85760356,6495111843,77.4,77.5,74.5,74.7,-3.9,42675
54,20200311,30546137,2418343099,79.3,80.1,78.6,78.6,-0.8,14050
55,20200310,39205665,3099346390,78.5,79.8,78.5,79.4,0.3,17013
56,20200309,45009955,3574569517,79.2,80.1,79.1,79.1,-1.7,23367
57,20200306,38712605,3137596043,81.6,81.7,80.7,80.8,-1.9,17173
58,20200305,36950021,3067987721,83.3,83.6,82.6,82.7,1.0,16471
59,20200304,29907913,2438150154,81.5,81.9,81.1,81.7,0.7,11887
60,20200303,34822180,2828098980,81.1,82.0,80.6,81.0,1.8,16398
61,20200302,54992166,4355555537,78.2,80.3,78.1,79.2,-1.1,23725
